,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,stance_duration
190,NotAtaxic,Switch,SwitchLeft01,S5,Split,96,2,18,-4.061450380267559,,,,,,,
191,,,,,,,,,,-2.0769974383255487,6.0841515124688055,-0.14378060315727453,11.12660880040643,4.687808258364839,-9.335340634740973,-24.24242424242857
192,NotAtaxic,Switch,SwitchLeft01,S5,Intersplit,97,6,42,1.2557443946299145,,,,,,,
193,,,,,,,,,,0.6729135609636359,-1.6193216742197167,0.00028761313990062487,-1.8795437282986,0.5941121265141334,0.7200298887310197,-3.637978807091713e-12
194,NotAtaxic,Switch,SwitchLeft01,S5,Intersplit,98,7,43,0.14127480863317032,,,,,,,
195,,,,,,,,,,0.6367423317649354,-0.35465511469398425,-0.00027589842602121495,-0.16866356435443208,0.2909201162832744,0.22815357555043647,3.637978807091713e-12
196,NotAtaxic,Switch,SwitchLeft01,S5,Intersplit,99,8,44,1.2590504655933898,,,,,,,
197,,,,,,,,,,0.6750944888953256,1.4372344694731645,-0.00020724661874819972,-0.5158010155263355,0.5962603019945192,0.4975155146435384,-3.637978807091713e-12
198,NotAtaxic,Switch,SwitchLeft01,S5,Split,100,3,19,-0.8943654069996398,,,,,,,
199,,,,,,,,,,-1.1101741983432873,5.7973126841749805,-0.14159228377436844,11.209037087180405,5.404385653409022,-8.144885361796668,-21.21212121213466
200,NotAtaxic,Switch,SwitchLeft01,S5,Washout,101,0,20,0.988738705413482,,,,,,,
201,,,,,,,,,,0.5802732525449841,-1.0498306527381773,-0.00037092669726671024,-1.3589415887389578,0.7756358445292335,0.7520271070075637,-1.8189894035458565e-12
202,NotAtaxic,Switch,SwitchLeft01,S5,Washout,102,1,21,0.946908045296766,,,,,,,
203,,,,,,,,,,0.6024293225220987,-0.832019730648752,-0.0009134829814535506,-0.3349381263809619,0.16441730537789567,0.7796239371251659,-7.275957614183426e-12
204,NotAtaxic,Switch,SwitchLeft01,S5,Washout,103,2,22,0.2055004389599162,,,,,,,
205,,,,,,,,,,0.32178512727369935,0.9814060843809136,0.000442847024546833,0.6709155238207529,-0.16859035299285097,0.34762295809656507,-3.637978807091713e-12
206,NotAtaxic,Switch,SwitchLeft01,S5,Washout,104,3,23,-0.7556953815498559,,,,,,,
207,,,,,,,,,,0.24174006298336792,0.24434463836424403,-0.0007117006337925003,-0.9985259084990048,-0.09131768737179868,0.4071245289812282,3.0303030303002743
208,NotAtaxic,Switch,SwitchLeft01,S5,Washout,105,4,24,1.8470301772608906,,,,,,,
